Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00  497024/497024      ffb_ [100]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.2    0.07    0.00                 coulan_ [43]
-----------------------------------------------
                0.05    0.02  623700/623700      chemag8_ [37]
[44]     0.2    0.05    0.02  623700         chemfit7_ [44]
                0.02    0.00  623700/623700      ferinv7_ [62]
-----------------------------------------------
                0.07    0.00    1002/1002        boundary_ [35]
[45]     0.2    0.07    0.00    1002         vacuumbc_ [45]
-----------------------------------------------
                0.06    0.00 2555100/2555100     gauleg_ [48]
[46]     0.2    0.06    0.00 2555100         bzinterp_ [46]
-----------------------------------------------
                0.06    0.00  577338/577338      eosfim12_ [30]
[47]     0.2    0.06    0.00  577338         fscrsol8_ [47]
-----------------------------------------------
                                   1             gauleg_ [48]
                0.00    0.00       1/1003        binit_ [88]
                0.00    0.06    1002/1003        boundary_ [35]
[48]     0.2    0.00    0.06    1003+1       gauleg_ [48]
                0.06    0.00 2555100/2555100     bzinterp_ [46]
                                   1             gauleg_ [48]
-----------------------------------------------
                0.00    0.00       1/1002        MAIN__ [1]
                0.06    0.00    1001/1002        bevol_ [18]
[49]     0.2    0.06    0.00    1002         bmodulus_ [49]
-----------------------------------------------
                0.01    0.05  970000/970000      condegin_ [33]
[50]     0.1    0.01    0.05  970000         coulin_ [50]
                0.01    0.04  970000/1940000     coulan2_ [36]
-----------------------------------------------
                0.00    0.05  577338/577338      eosfim12_ [30]
[51]     0.1    0.00    0.05  577338         fharmag_ [51]
                0.04    0.01  577338/577338      hlmag_ [52]
-----------------------------------------------
                0.04    0.01  577338/577338      fharmag_ [51]
[52]     0.1    0.04    0.01  577338         hlmag_ [52]
                0.01    0.00  577338/577338      hlfit12_ [77]
-----------------------------------------------
                0.00    0.05  970000/970000      condegin_ [33]
[53]     0.1    0.00    0.05  970000         coul99i_ [53]
                0.01    0.04  970000/1940000     coulan2_ [36]
-----------------------------------------------
                0.03    0.00 3760000/3760000     q3_ [22]
[54]     0.1    0.03    0.00 3760000         qbpp_ [54]
                0.00    0.00 2294238/17104954     v1_ [56]
                0.00    0.00 2294238/3594548     rrpp_pa_ [93]
-----------------------------------------------
                0.03    0.00 3760000/3760000     q3_ [22]
[55]     0.1    0.03    0.00 3760000         qpair_ [55]
-----------------------------------------------
                0.00    0.00  397566/17104954     ccvfn_ [64]
                0.00    0.00  803286/17104954     qcpbf_cr_ [66]
                0.00    0.00  803286/17104954     qbnn_ [67]
                0.00    0.00 1127026/17104954     ccvfp_ [63]
                0.00    0.00 2276838/17104954     qcpbf_co_ [42]
                0.00    0.00 2294238/17104954     qdurca_ [84]
                0.00    0.00 2294238/17104954     qbpp_ [54]
                0.00    0.00 2294238/17104954     qbnp_ [65]
                0.00    0.00 2294238/17104954     qmurca_ [40]
                0.00    0.00 2520000/17104954     en_cond_ [32]
[56]     0.1    0.02    0.00 17104954         v1_ [56]
-----------------------------------------------
